Sub-major group,Unit group,Occupation,Sex,Number of individuals,Average taxable income,Median taxable income,Average salary or wage income,Median salary or wage income,Average total income,Median total income
12 Farmers and farm managers,1212 Crop farmer,121299 Mushroom farmer or farm overseer,Male,1072,62971,52014,50760,48886,66731,56400
12 Farmers and farm managers,1212 Crop farmer,121299 Mushroom farmer or farm overseer,Total,1360,59152,47430,46257,42829,62654,51864
12 Farmers and farm managers,1213 Livestock farmer,121311 Apiarist,Female,47,35443,32229,29550,24748,36911,32529
12 Farmers and farm managers,1213 Livestock farmer,121311 Apiarist,Male,291,43502,40434,39466,38880,45825,42795
12 Farmers and farm managers,1213 Livestock farmer,121311 Apiarist,Total,338,42381,39467,38089,36855,44586,41223
12 Farmers and farm managers,1213 Livestock farmer,121312 Beef cattle farmer or farm overseer,Female,588,53248,33342,29927,25922,58160,36805
12 Farmers and farm managers,1213 Livestock farmer,121312 Beef cattle farmer or farm overseer,Male,2761,65364,48365,49233,49068,71239,53829
12 Farmers and farm managers,1213 Livestock farmer,121312 Beef cattle farmer or farm overseer,Total,3349,63237,46216,46000,45127,68948,51516
12 Farmers and farm managers,1213 Livestock farmer,121313 Dairy cattle farmer or farm overseer,Female,581,35701,31925,30776,27064,39175,33862
12 Farmers and farm managers,1213 Livestock farmer,121313 Dairy cattle farmer or farm overseer,Male,1756,48252,46790,46395,46942,52719,50530
12 Farmers and farm managers,1213 Livestock farmer,121313 Dairy cattle farmer or farm overseer,Total,2337,45132,43351,42553,41779,49352,46985
12 Farmers and farm managers,1213 Livestock farmer,121314 Deer farmer or farm overseer,Female,6,19312,26239,19666,18000,19497,26458
12 Farmers and farm managers,1213 Livestock farmer,121314 Deer farmer or farm overseer,Male,9,32717,27183,32677,18000,34061,27840
12 Farmers and farm managers,1213 Livestock farmer,121314 Deer farmer or farm overseer,Total,15,27355,27183,28030,18000,28235,27840
12 Farmers and farm managers,1213 Livestock farmer,121315 Goat farmer or farm overseer,Female,20,39117,35180,29363,26000,40826,36767
12 Farmers and farm managers,1213 Livestock farmer,121315 Goat farmer or farm overseer,Male,20,57231,48343,38637,37674,58910,50041
