Sub-major group,Unit group,Occupation,Sex,Number of individuals,Average taxable income,Median taxable income,Average salary or wage income,Median salary or wage income,Average total income,Median total income
39 Other technicians and trades workers,3920 Printer - type not specified,392000 Printer - type not specified,Total,39,49902,46749,49363,47670,51455,47670
39 Other technicians and trades workers,"3921 Binder, finisher or screen printer",392111 Book binder,Female,747,37134,37691,34512,37200,37974,38889
39 Other technicians and trades workers,"3921 Binder, finisher or screen printer",392111 Book binder,Male,1514,57042,55557,56295,56323,58760,57230
39 Other technicians and trades workers,"3921 Binder, finisher or screen printer",392111 Book binder,Total,2261,50465,48302,49108,48657,51892,49786
39 Other technicians and trades workers,"3921 Binder, finisher or screen printer",392112 Printer - screen,Female,268,39719,37855,36788,37610,40725,38944
39 Other technicians and trades workers,"3921 Binder, finisher or screen printer",392112 Printer - screen,Male,1689,58196,53359,56428,52994,60045,54862
39 Other technicians and trades workers,"3921 Binder, finisher or screen printer",392112 Printer - screen,Total,1957,55665,50500,53749,50587,57399,52090
39 Other technicians and trades workers,3922 Graphic pre-press trades worker,392211 Compositor,Female,674,54645,49324,51271,48347,56170,50655
39 Other technicians and trades workers,3922 Graphic pre-press trades worker,392211 Compositor,Male,1286,66104,61286,62412,60422,67969,62631
39 Other technicians and trades workers,3922 Graphic pre-press trades worker,392211 Compositor,Total,1960,62163,57864,58568,57166,63910,59633
39 Other technicians and trades workers,3923 Printer,392311 Machinist - printing,Female,431,43525,43571,41901,43371,44895,44876
39 Other technicians and trades workers,3923 Printer,392311 Machinist - printing,Male,4049,69308,63603,67650,63740,71275,65521
39 Other technicians and trades workers,3923 Printer,392311 Machinist - printing,Total,4480,66827,61358,65167,61216,68735,63281
39 Other technicians and trades workers,3923 Printer,392312 Printer - small offset,Female,114,43438,42741,41801,41169,45181,43978
39 Other technicians and trades workers,3923 Printer,392312 Printer - small offset,Male,1946,66460,61140,65670,61806,68401,63156
39 Other technicians and trades workers,3923 Printer,392312 Printer - small offset,Total,2060,65186,60136,64343,60739,67116,62271
39 Other technicians and trades workers,3931 Canvas or leather goods maker,393111 Canvas goods maker,Female,37,39024,35566,34949,38337,40265,38411
39 Other technicians and trades workers,3931 Canvas or leather goods maker,393111 Canvas goods maker,Male,188,51087,47553,47733,45055,52522,48839
39 Other technicians and trades workers,3931 Canvas or leather goods maker,393111 Canvas goods maker,Total,225,49104,45042,45690,43445,50507,47643
39 Other technicians and trades workers,3931 Canvas or leather goods maker,393112 Leather goods maker,Female,54,36106,35564,36182,36974,37296,36941
39 Other technicians and trades workers,3931 Canvas or leather goods maker,393112 Leather goods maker,Male,137,44218,44132,42663,43665,45570,45261
39 Other technicians and trades workers,3931 Canvas or leather goods maker,393112 Leather goods maker,Total,191,41925,41487,40831,42052,43231,42297
39 Other technicians and trades workers,3931 Canvas or leather goods maker,393113 Sailmaker,Female,22,43561,48432,41727,37511,44999,50094
39 Other technicians and trades workers,3931 Canvas or leather goods maker,393113 Sailmaker,Male,151,49476,48642,45607,47687,51714,52899
39 Other technicians and trades workers,3931 Canvas or leather goods maker,393113 Sailmaker,Total,173,48724,48642,45108,47428,50860,51059
39 Other technicians and trades workers,3931 Canvas or leather goods maker,393114 Repairer - shoe,Female,71,50824,36324,34638,36697,51713,37545
39 Other technicians and trades workers,3931 Canvas or leather goods maker,393114 Repairer - shoe,Male,343,44017,41589,39619,39732,45431,43160
39 Other technicians and trades workers,3931 Canvas or leather goods maker,393114 Repairer - shoe,Total,414,45184,40371,38765,38875,46509,42178
39 Other technicians and trades workers,3932 Clothing trades worker,393211 Apparel cutter,Female,31,40623,39047,40864,38329,41585,39676
39 Other technicians and trades workers,3932 Clothing trades worker,393211 Apparel cutter,Male,44,47408,45095,48153,46812,49427,46823
39 Other technicians and trades workers,3932 Clothing trades worker,393211 Apparel cutter,Total,75,44604,41046,45140,43720,46186,43759
39 Other technicians and trades workers,3932 Clothing trades worker,393212 Clothing pattern maker,Female,497,52296,51200,49277,49633,53781,52442
39 Other technicians and trades workers,3932 Clothing trades worker,393212 Clothing pattern maker,Male,111,57487,54951,52530,50909,59231,57026
39 Other technicians and trades workers,3932 Clothing trades worker,393212 Clothing pattern maker,Total,608,53244,51728,49877,49797,54776,52986
39 Other technicians and trades workers,3932 Clothing trades worker,393213 Costume maker,Female,1667,36940,34004,32993,31229,38616,35398
39 Other technicians and trades workers,3932 Clothing trades worker,393213 Costume maker,Male,388,44763,40359,40158,38580,46781,41359
39 Other technicians and trades workers,3932 Clothing trades worker,393213 Costume maker,Total,2055,38417,35198,34347,32370,40159,36318
39 Other technicians and trades workers,3932 Clothing trades worker,393299 Hat maker,Female,34,33566,39895,29476,37750,34560,40274
39 Other technicians and trades workers,3932 Clothing trades worker,393299 Hat maker,Male,59,53341,44580,52981,45769,54606,46656
39 Other technicians and trades workers,3932 Clothing trades worker,393299 Hat maker,Total,93,46112,41917,44388,41183,47277,42362
39 Other technicians and trades workers,3933 Upholsterer,393311 Bedding and mattress maker,Female,225,38772,38551,34797,36954,39990,39359
39 Other technicians and trades workers,3933 Upholsterer,393311 Bedding and mattress maker,Male,1710,47792,45818,45765,46325,49535,47700
39 Other technicians and trades workers,3933 Upholsterer,393311 Bedding and mattress maker,Total,1935,46743,44988,44472,45287,48426,46732
39 Other technicians and trades workers,3941 Cabinet maker,394111 Cabinet maker,Female,334,37828,36562,35605,36092,39665,39042
39 Other technicians and trades workers,3941 Cabinet maker,394111 Cabinet maker,Male,18823,52080,50336,51258,51656,55269,53502
39 Other technicians and trades workers,3941 Cabinet maker,394111 Cabinet maker,Total,19157,51831,50072,50983,51446,54997,53280
39 Other technicians and trades workers,3942 Wood machinist or other wood trades worker,394211 French polisher,Female,37,35702,34181,31124,31644,36799,34901
39 Other technicians and trades workers,3942 Wood machinist or other wood trades worker,394211 French polisher,Male,669,48927,46929,47647,47507,50834,49000
39 Other technicians and trades workers,3942 Wood machinist or other wood trades worker,394211 French polisher,Total,706,48234,46244,46776,46830,50099,48274
39 Other technicians and trades workers,3942 Wood machinist or other wood trades worker,394212 Picture framer,Female,279,34699,33102,31321,30613,35759,34834
39 Other technicians and trades workers,3942 Wood machinist or other wood trades worker,394212 Picture framer,Male,523,40354,39494,36386,36809,41729,40478
39 Other technicians and trades workers,3942 Wood machinist or other wood trades worker,394212 Picture framer,Total,802,38387,36817,34622,34680,39649,38153
39 Other technicians and trades workers,3942 Wood machinist or other wood trades worker,394213 Machinist - wood,Female,24,44790,42930,44631,42460,48329,43344
39 Other technicians and trades workers,3942 Wood machinist or other wood trades worker,394213 Machinist - wood,Male,1620,53142,51414,52497,52135,54929,53070
39 Other technicians and trades workers,3942 Wood machinist or other wood trades worker,394213 Machinist - wood,Total,1644,53020,51321,52386,52003,54836,52924
39 Other technicians and trades workers,3942 Wood machinist or other wood trades worker,394214 Turner - wood,Male,51,46806,42458,43198,41626,48051,43360
39 Other technicians and trades workers,3942 Wood machinist or other wood trades worker,394214 Turner - wood,Total,51,46806,42458,43198,41626,48051,43360
39 Other technicians and trades workers,3942 Wood machinist or other wood trades worker,394299 Cane furniture maker,Female,11,37195,26390,28079,27509,38543,27509
39 Other technicians and trades workers,3942 Wood machinist or other wood trades worker,394299 Cane furniture maker,Male,95,46759,47329,46133,48336,48680,49065
39 Other technicians and trades workers,3942 Wood machinist or other wood trades worker,394299 Cane furniture maker,Total,106,45767,45802,44260,45989,47628,47231
39 Other technicians and trades workers,3991 Boat builder or shipwright,399111 Boat builder or repairer,Female,37,51608,38155,39140,36616,53500,38430
39 Other technicians and trades workers,3991 Boat builder or shipwright,399111 Boat builder or repairer,Male,2108,57460,52465,55175,53529,60447,55580
39 Other technicians and trades workers,3991 Boat builder or shipwright,399111 Boat builder or repairer,Total,2145,57359,52094,54901,53114,60327,55266
39 Other technicians and trades workers,3991 Boat builder or shipwright,399112 Shipwright,Total,472,64877,60220,62762,61617,68012,63509
39 Other technicians and trades workers,"3992 Chemical, gas, petroleum or power generation plant operator",399211 Chemical plant operator,Female,266,68112,62594,67696,63405,70070,63998
39 Other technicians and trades workers,"3992 Chemical, gas, petroleum or power generation plant operator",399211 Chemical plant operator,Male,4473,96780,91058,96441,93179,99317,93973
39 Other technicians and trades workers,"3992 Chemical, gas, petroleum or power generation plant operator",399211 Chemical plant operator,Total,4739,95170,89684,94826,91430,97676,92303
39 Other technicians and trades workers,"3992 Chemical, gas, petroleum or power generation plant operator",399212 Plant operator - gas plant,Female,200,100089,93104,100485,94386,103209,96488
39 Other technicians and trades workers,"3992 Chemical, gas, petroleum or power generation plant operator",399212 Plant operator - gas plant,Male,3382,133978,118066,131900,119157,137465,121779
39 Other technicians and trades workers,"3992 Chemical, gas, petroleum or power generation plant operator",399212 Plant operator - gas plant,Total,3582,132086,116579,130146,117951,135552,119714
39 Other technicians and trades workers,"3992 Chemical, gas, petroleum or power generation plant operator",399213 Plant operator - power generation plant,Female,66,102371,90713,93628,94639,105053,95338
39 Other technicians and trades workers,"3992 Chemical, gas, petroleum or power generation plant operator",399213 Plant operator - power generation plant,Male,2535,149212,138425,137603,136425,152402,141255
39 Other technicians and trades workers,"3992 Chemical, gas, petroleum or power generation plant operator",399213 Plant operator - power generation plant,Total,2601,148024,137325,136481,134954,151200,140225
39 Other technicians and trades workers,"3993 Gallery, library or museum technician",399311 Gallery technician,Female,174,46293,40320,41271,40270,47544,42481
39 Other technicians and trades workers,"3993 Gallery, library or museum technician",399311 Gallery technician,Male,229,53848,51756,48598,49028,55241,53194
39 Other technicians and trades workers,"3993 Gallery, library or museum technician",399311 Gallery technician,Total,403,50586,47152,45445,44841,51918,48088
39 Other technicians and trades workers,"3993 Gallery, library or museum technician",399312 Library officer,Female,5195,47072,46772,44742,45451,48284,48149
39 Other technicians and trades workers,"3993 Gallery, library or museum technician",399312 Library officer,Male,934,54303,56830,52579,57119,55366,58025
39 Other technicians and trades workers,"3993 Gallery, library or museum technician",399312 Library officer,Total,6129,48174,48192,45938,47094,49363,49401
39 Other technicians and trades workers,3994 Jeweller,399411 Gem cutter and polisher,Female,704,44933,39814,37555,35952,46613,41283
39 Other technicians and trades workers,3994 Jeweller,399411 Gem cutter and polisher,Male,1305,60297,52772,51862,50000,62542,55003
39 Other technicians and trades workers,3994 Jeweller,399411 Gem cutter and polisher,Total,2009,54913,47338,46802,44671,56955,49683
39 Other technicians and trades workers,3995 Performing arts technician,399511 Broadcast transmitter operator,Female,88,57918,58365,57289,61268,60145,61854
39 Other technicians and trades workers,3995 Performing arts technician,399511 Broadcast transmitter operator,Male,291,78962,80151,76410,79558,82057,82384
39 Other technicians and trades workers,3995 Performing arts technician,399511 Broadcast transmitter operator,Total,379,74076,73968,72013,74865,76956,76085
39 Other technicians and trades workers,3995 Performing arts technician,"399512 Camera operator - film, television or video",Female,194,45935,41584,41143,38673,49362,45256
39 Other technicians and trades workers,3995 Performing arts technician,"399512 Camera operator - film, television or video",Male,2110,64490,61080,57728,57024,68080,65620
39 Other technicians and trades workers,3995 Performing arts technician,"399512 Camera operator - film, television or video",Total,2304,62928,59359,56327,55617,66511,63574
39 Other technicians and trades workers,3995 Performing arts technician,399513 Lighting technician,Female,225,47126,45389,43547,46011,49288,47191
39 Other technicians and trades workers,3995 Performing arts technician,399513 Lighting technician,Male,1316,56897,54891,53011,53931,60305,58088
39 Other technicians and trades workers,3995 Performing arts technician,399513 Lighting technician,Total,1541,55470,53594,51630,52487,58696,56786
39 Other technicians and trades workers,3995 Performing arts technician,399514 Artist - make-up,Female,1844,36010,32102,33086,30944,38545,34058
39 Other technicians and trades workers,3995 Performing arts technician,399514 Artist - make-up,Male,94,50062,41032,45362,41629,54503,46645
39 Other technicians and trades workers,3995 Performing arts technician,399514 Artist - make-up,Total,1938,36692,32569,33680,31456,39311,34876
39 Other technicians and trades workers,3995 Performing arts technician,399515 Musical instrument repairer,Female,33,28158,26797,26027,21425,29409,27659
39 Other technicians and trades workers,3995 Performing arts technician,399515 Musical instrument repairer,Male,186,46280,43691,42445,42937,48461,45208
39 Other technicians and trades workers,3995 Performing arts technician,399515 Musical instrument repairer,Total,219,43550,41441,40021,40516,45590,43621
39 Other technicians and trades workers,3995 Performing arts technician,399516 Audio engineer,Female,366,51807,47198,47796,46111,54617,49985
39 Other technicians and trades workers,3995 Performing arts technician,399516 Audio engineer,Male,3912,59565,56129,54541,54115,62733,59137
39 Other technicians and trades workers,3995 Performing arts technician,399516 Audio engineer,Total,4278,58901,55514,53963,53324,62038,58379
39 Other technicians and trades workers,3995 Performing arts technician,399517 Television equipment operator,Female,125,60494,58103,56572,55623,62561,61408
39 Other technicians and trades workers,3995 Performing arts technician,399517 Television equipment operator,Male,538,72361,67018,66473,66333,74814,69116
39 Other technicians and trades workers,3995 Performing arts technician,399517 Television equipment operator,Total,663,70124,65389,64605,63905,72504,67603
39 Other technicians and trades workers,3995 Performing arts technician,399599 Continuity person,Female,124,52400,47321,50409,46044,55756,51542
39 Other technicians and trades workers,3995 Performing arts technician,399599 Continuity person,Male,163,75227,69343,69648,64377,80820,73836
39 Other technicians and trades workers,3995 Performing arts technician,399599 Continuity person,Total,287,65364,57389,61432,55167,69991,60999
39 Other technicians and trades workers,3996 Signwriter,399611 Signwriter,Female,342,43459,42692,41523,42999,45259,44868
39 Other technicians and trades workers,3996 Signwriter,399611 Signwriter,Male,2920,54708,52736,52389,53666,57326,55500
39 Other technicians and trades workers,3996 Signwriter,399611 Signwriter,Total,3262,53528,51623,51241,52269,56060,54200
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399911 Diver (open water),Female,222,30787,27636,31933,28875,33731,29959
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399911 Diver (open water),Male,1406,71759,62357,69511,61250,77448,67738
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399911 Diver (open water),Total,1628,66172,55070,64327,55008,71483,60453
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399912 Decorator - interior,Female,808,51826,43732,42901,40145,54914,46113
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399912 Decorator - interior,Male,161,47837,36573,40393,30768,50205,38889
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399912 Decorator - interior,Total,969,51163,43048,42490,39045,54131,45204
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399913 Optical dispenser,Female,4319,38510,37595,36459,36784,39615,38570
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399913 Optical dispenser,Male,1219,47738,45314,43808,45224,49136,46340
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399913 Optical dispenser,Total,5538,40541,39073,38073,38344,41711,40237
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399914 Optical mechanic,Female,254,50445,47967,46743,46513,52286,48882
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399914 Optical mechanic,Male,442,59624,56970,55175,55709,61454,58656
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399914 Optical mechanic,Total,696,56274,53082,52093,52501,58108,54629
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399915 Photographic studio assistant,Female,365,30928,26228,26465,22002,32116,27893
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399915 Photographic studio assistant,Male,136,33018,29307,30054,25653,34103,30573
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399915 Photographic studio assistant,Total,501,31495,27125,27440,23973,32656,28560
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399916 Plastics technician,Female,26,48839,43699,48926,42991,50556,44967
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399916 Plastics technician,Male,465,74147,71393,75407,74158,77151,75040
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399916 Plastics technician,Total,491,72806,69704,74001,72836,75740,73366
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399917 Classer - wool,Female,343,34948,35598,33819,35598,38318,39692
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399917 Classer - wool,Male,584,44663,40974,33810,30900,48346,45519
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399917 Classer - wool,Total,927,41068,38470,33813,33291,44636,42657
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399918 Fire protection equipment technician,Female,61,55256,51648,54071,52077,57351,53063
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399918 Fire protection equipment technician,Male,3226,76175,71773,73850,71541,80599,76075
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399918 Fire protection equipment technician,Total,3287,75786,71348,73481,71269,80168,75597
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399999 Classer - hide or skin,Female,1252,48262,45654,47280,45794,49664,46961
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399999 Classer - hide or skin,Male,11957,68661,61301,67427,61735,71238,63779
39 Other technicians and trades workers,3999 Other miscellaneous technician and trades worker,399999 Classer - hide or skin,Total,13209,66727,59621,65522,60136,69193,62150
41 Health and welfare support workers,4110 Therapist - type not specified,411000 Therapist - type not specified,Female,8,22407,18423,27159,18423,26585,20020
41 Health and welfare support workers,4110 Therapist - type not specified,411000 Therapist - type not specified,Male,1,88163,88163,88350,88350,88811,88811
41 Health and welfare support workers,4110 Therapist - type not specified,411000 Therapist - type not specified,Total,9,29713,20020,35900,20020,34363,20151
41 Health and welfare support workers,4111 Ambulance officer or paramedic,411111 Ambulance officer,Female,6279,76818,79511,78191,82863,80820,83916
41 Health and welfare support workers,4111 Ambulance officer or paramedic,411111 Ambulance officer,Male,10173,93977,94074,95819,97649,98692,98693
41 Health and welfare support workers,4111 Ambulance officer or paramedic,411111 Ambulance officer,Total,16452,87428,88625,89089,92402,91871,93237
41 Health and welfare support workers,"4112 Dental hygienist, technician or therapist",411211 Dental hygienist,Female,1890,63476,61084,61481,60894,66635,63901
41 Health and welfare support workers,"4112 Dental hygienist, technician or therapist",411211 Dental hygienist,Male,115,74676,74746,74656,77082,79076,79395
41 Health and welfare support workers,"4112 Dental hygienist, technician or therapist",411211 Dental hygienist,Total,2005,64118,61505,62240,61496,67349,64487
41 Health and welfare support workers,"4112 Dental hygienist, technician or therapist",411212 Dental prosthetist,Female,77,58191,55441,55866,54462,60961,58687
41 Health and welfare support workers,"4112 Dental hygienist, technician or therapist",411212 Dental prosthetist,Male,205,81848,72031,66982,62490,85612,75683
41 Health and welfare support workers,"4112 Dental hygienist, technician or therapist",411212 Dental prosthetist,Total,282,75388,66760,63936,59611,78881,69231
41 Health and welfare support workers,"4112 Dental hygienist, technician or therapist",411213 Dental mechanic or technician,Female,1017,48162,46228,45557,45730,49955,48102
41 Health and welfare support workers,"4112 Dental hygienist, technician or therapist",411213 Dental mechanic or technician,Male,1582,65178,60529,58664,57971,67709,62409
41 Health and welfare support workers,"4112 Dental hygienist, technician or therapist",411213 Dental mechanic or technician,Total,2599,58520,54449,53490,53065,60763,56274
41 Health and welfare support workers,"4112 Dental hygienist, technician or therapist",411214 Dental therapist,Female,1429,59335,56871,57001,56726,62583,59875
41 Health and welfare support workers,"4112 Dental hygienist, technician or therapist",411214 Dental therapist,Male,114,68976,67746,66946,70495,73813,74423
41 Health and welfare support workers,"4112 Dental hygienist, technician or therapist",411214 Dental therapist,Total,1543,60047,57248,57740,57309,63413,60598
41 Health and welfare support workers,4113 Diversional therapist,411311 Diversional therapist,Female,1737,35439,33237,33845,32438,37159,35046
41 Health and welfare support workers,4113 Diversional therapist,411311 Diversional therapist,Male,118,45172,38721,43700,39814,47165,40492
41 Health and welfare support workers,4113 Diversional therapist,411311 Diversional therapist,Total,1855,36058,33575,34472,32713,37796,35338
41 Health and welfare support workers,4114 Enrolled or mothercraft nurse,411411 Enrolled nurse,Female,17323,46004,45564,45506,45992,48035,47597
41 Health and welfare support workers,4114 Enrolled or mothercraft nurse,411411 Enrolled nurse,Male,1966,53606,53111,53780,54812,56006,55890
41 Health and welfare support workers,4114 Enrolled or mothercraft nurse,411411 Enrolled nurse,Total,19289,46779,46360,46348,46887,48848,48394
41 Health and welfare support workers,4114 Enrolled or mothercraft nurse,411412 Mothercraft nurse,Total,176,42338,40538,40478,40595,44744,41467
41 Health and welfare support workers,4115 Aboriginal and Torres Strait Islander health worker,411511 Aboriginal and Torres Strait Islander health liaison officer,Female,1878,48254,46051,46618,46328,50009,48070
41 Health and welfare support workers,4115 Aboriginal and Torres Strait Islander health worker,411511 Aboriginal and Torres Strait Islander health liaison officer,Male,894,51104,49095,50327,49916,53045,50942
41 Health and welfare support workers,4115 Aboriginal and Torres Strait Islander health worker,411511 Aboriginal and Torres Strait Islander health liaison officer,Total,2772,49173,46967,47814,47348,50988,48903
41 Health and welfare support workers,4116 Massage therapist,411600 Masseur - type not specified,Female,25,12424,11982,12119,11307,12666,12177
41 Health and welfare support workers,4116 Massage therapist,411600 Masseur - type not specified,Male,7,8742,7276,8957,7274,8966,7276
41 Health and welfare support workers,4116 Massage therapist,411600 Masseur - type not specified,Total,32,11618,10151,11405,9384,11857,10312
41 Health and welfare support workers,4116 Massage therapist,411611 Massage therapist,Female,5690,25502,21164,21150,17020,26535,22039
41 Health and welfare support workers,4116 Massage therapist,411611 Massage therapist,Male,1600,29532,23263,25093,19800,30738,24559
41 Health and welfare support workers,4116 Massage therapist,411611 Massage therapist,Total,7290,26387,21554,22010,17798,27457,22537
41 Health and welfare support workers,4117 Welfare support worker,411711 Community support worker,Female,28545,39547,36438,37331,35251,41872,39038
41 Health and welfare support workers,4117 Welfare support worker,411711 Community support worker,Male,10067,42602,39922,41184,39909,44987,42527
41 Health and welfare support workers,4117 Welfare support worker,411711 Community support worker,Total,38612,40344,37240,38334,36465,42684,39804
41 Health and welfare support workers,4117 Welfare support worker,411712 Disabilities support officer,Female,19144,40892,38863,40139,39189,43441,41591
41 Health and welfare support workers,4117 Welfare support worker,411712 Disabilities support officer,Male,8828,46847,44555,47036,45886,49896,47755
41 Health and welfare support workers,4117 Welfare support worker,411712 Disabilities support officer,Total,27972,42771,40463,42316,41188,45479,43388
41 Health and welfare support workers,4117 Welfare support worker,411713 Family support worker,Female,2960,41166,39932,39808,39972,43174,42253
41 Health and welfare support workers,4117 Welfare support worker,411713 Family support worker,Male,411,44507,43152,42452,42812,46532,45461
41 Health and welfare support workers,4117 Welfare support worker,411713 Family support worker,Total,3371,41573,40255,40130,40297,43584,42623
41 Health and welfare support workers,4117 Welfare support worker,411714 Parole officer,Female,1006,73517,76158,74493,78368,75663,78636
41 Health and welfare support workers,4117 Welfare support worker,411714 Parole officer,Male,379,78812,81234,78551,83718,81300,83909
41 Health and welfare support workers,4117 Welfare support worker,411714 Parole officer,Total,1385,74966,77388,75602,79609,77206,79728
41 Health and welfare support workers,4117 Welfare support worker,411715 Residential care officer,Female,1606,48838,46501,47781,46864,51538,50084
41 Health and welfare support workers,4117 Welfare support worker,411715 Residential care officer,Male,751,53136,53587,52934,55193,55793,56925
41 Health and welfare support workers,4117 Welfare support worker,411715 Residential care officer,Total,2357,50208,49057,49417,49645,52894,52168
41 Health and welfare support workers,4117 Welfare support worker,411716 Youth worker,Female,9188,46174,44355,45240,45252,48734,47131
41 Health and welfare support workers,4117 Welfare support worker,411716 Youth worker,Male,6679,51859,50297,51706,51771,54657,53323
41 Health and welfare support workers,4117 Welfare support worker,411716 Youth worker,Total,15867,48567,46624,47960,47748,51228,49744
42 Carers and aides,4211 Child carer,421100 Child care worker - type not specified,Female,106,28099,27665,25875,24054,29119,28364
42 Carers and aides,4211 Child carer,421100 Child care worker - type not specified,Male,8,20746,15572,21280,15310,21412,15769
42 Carers and aides,4211 Child carer,421100 Child care worker - type not specified,Total,114,27583,27019,25553,23423,28578,27920
42 Carers and aides,4211 Child carer,421111 Attendant - creche,Female,115654,33944,34164,32222,33312,35184,35517
42 Carers and aides,4211 Child carer,421111 Attendant - creche,Male,3993,31985,29104,28861,26369,32979,30126
42 Carers and aides,4211 Child carer,421111 Attendant - creche,Total,119647,33878,34035,32110,33144,35110,35372
42 Carers and aides,4211 Child carer,421112 Family day care worker,Female,3931,34970,33825,32397,32462,36857,35633
42 Carers and aides,4211 Child carer,421112 Family day care worker,Male,152,32760,28055,30457,25645,34939,30251
42 Carers and aides,4211 Child carer,421112 Family day care worker,Total,4083,34887,33662,32325,32257,36786,35499
42 Carers and aides,4211 Child carer,421113 Child minder,Female,4508,30271,26200,26620,22282,31860,27614
42 Carers and aides,4211 Child carer,421113 Child minder,Male,173,35179,28193,22237,11947,38805,29182
42 Carers and aides,4211 Child carer,421113 Child minder,Total,4681,30453,26282,26458,21848,32117,27714
42 Carers and aides,4211 Child carer,421114 Child carer - out of school hours care worker,Female,5565,29584,26596,27171,23739,30598,27516
42 Carers and aides,4211 Child carer,421114 Child carer - out of school hours care worker,Male,1328,26528,22598,23523,19211,27220,23110
42 Carers and aides,4211 Child carer,421114 Child carer - out of school hours care worker,Total,6893,28995,25702,26468,22719,29947,26682
42 Carers and aides,4221 Education aide,422111 Aboriginal and Torres Strait Islander education worker,Female,1511,44488,41063,42105,40237,46396,43182
42 Carers and aides,4221 Education aide,422111 Aboriginal and Torres Strait Islander education worker,Male,618,49350,46299,48311,46867,51522,48073
42 Carers and aides,4221 Education aide,422111 Aboriginal and Torres Strait Islander education worker,Total,2129,45900,42442,43898,42058,47883,44698
42 Carers and aides,4221 Education aide,422112 Integration aide (schools),Female,3859,31877,30778,28995,29600,33029,32064
42 Carers and aides,4221 Education aide,422112 Integration aide (schools),Male,325,32332,31424,31055,30857,33283,32044
42 Carers and aides,4221 Education aide,422112 Integration aide (schools),Total,4184,31912,30858,29155,29663,33049,32054
42 Carers and aides,4221 Education aide,422115 Kindergarten assistant,Female,4517,32789,29620,27850,26701,33944,30778
42 Carers and aides,4221 Education aide,422115 Kindergarten assistant,Male,65,31745,31460,30080,28303,32676,32783
42 Carers and aides,4221 Education aide,422115 Kindergarten assistant,Total,4582,32774,29628,27882,26753,33926,30803
42 Carers and aides,4221 Education aide,422116 School services officer,Female,66356,35821,34016,31550,31747,37057,35203
42 Carers and aides,4221 Education aide,422116 School services officer,Male,6632,35926,33453,32335,31121,37177,34713
42 Carers and aides,4221 Education aide,422116 School services officer,Total,72988,35831,33970,31621,31701,37068,35171
42 Carers and aides,4230 Personal carers and assistants,423000 Care worker,Female,203,26186,22836,24849,20772,27321,24022
42 Carers and aides,4230 Personal carers and assistants,423000 Care worker,Male,72,22257,21622,21478,19363,23489,21993
42 Carers and aides,4230 Personal carers and assistants,423000 Care worker,Total,275,25157,22301,24115,20102,26338,23171
42 Carers and aides,4231 Aged or disabled carer,423111 Aged or disabled carer,Female,109025,35260,33306,33217,32047,37392,35548
42 Carers and aides,4231 Aged or disabled carer,423111 Aged or disabled carer,Male,21235,41460,38824,40291,38697,43968,41214
42 Carers and aides,4231 Aged or disabled carer,423111 Aged or disabled carer,Total,130260,36270,34084,34369,32991,38464,36321
42 Carers and aides,4232 Dental nurse or assistant,423211 Dental assistant,Female,27568,37600,37002,35661,36328,38914,38372
42 Carers and aides,4232 Dental nurse or assistant,423211 Dental assistant,Male,556,36776,31993,31613,29924,38157,33617
42 Carers and aides,4232 Dental nurse or assistant,423211 Dental assistant,Total,28124,37584,36980,35581,36215,38899,38316
42 Carers and aides,4233 Nursing support or personal care worker,423311 Attendant - medical theatre,Female,6469,41655,41463,39940,41135,42857,42686
42 Carers and aides,4233 Nursing support or personal care worker,423311 Attendant - medical theatre,Male,9305,46643,47298,45287,47636,47935,48733
42 Carers and aides,4233 Nursing support or personal care worker,423311 Attendant - medical theatre,Total,15774,44598,44788,43093,44806,45852,46159
